metric,family,mean_audiobook,mean_focus,mean_diff,dz,t_stat,t_p,t_p_fdr,wilcox_p,direction,median_dz,median_t_p,median_t_p_fdr,median_wilcox_p,median_direction
p3_rfreqPW,segment_gamma,43.78998058125469,44.21796451618936,-0.42798393493467773,-0.10772023210277411,-0.26385960362596833,0.802417821227048,0.9667664972013832,0.9999999999999998,higher_focus,-0.16571657630995648,0.7015887631608744,0.893959826677903,1,higher_focus
chirpSlope,chirp,4.5769627072417896,3.8779614324305176,0.6990012748112713,0.10578960285886833,0.25913054709590394,0.8058648151868038,0.9667664972013832,0.8437500000000002,higher_audiobook,-0.0885686648813658,0.8368232900737058,0.8951815899220438,0.8437500000000002,higher_focus
p2_rpowZ,segment_gamma,2.1123775223812737,2.097807488523239,0.014570033858034237,0.0933069745718012,0.22855447714375782,0.8282687895468721,0.9667664972013832,0.9999999999999998,higher_audiobook,0.15557275265703058,0.7188033130052629,0.893959826677903,0.6875000000000002,higher_audiobook
w5_aucZ,window_gamma,1.0242118748224032,1.015347625692062,0.008864249130341137,0.09311543337517883,0.22808529894731092,0.8286140828370389,0.9667664972013832,0.9999999999999998,higher_audiobook,0.3726986062591052,0.4031561979021873,0.893959826677903,0.5625000000000002,higher_audiobook
w5_rpowZ,window_gamma,2.048423749644806,2.030695251384124,0.01772849826068179,0.09311543337517654,0.22808529894730534,0.828614082837043,0.9667664972013832,0.9999999999999998,higher_audiobook,0.3726986062591157,0.403156197902175,0.893959826677903,0.5625000000000002,higher_audiobook
apExp,aperiodic,1.3020196105210085,1.313411822665788,-0.011392212144779599,-0.09159147372783397,-0.22435237542272424,0.8313628974319702,0.9667664972013832,0.6875000000000002,higher_focus,-0.21435889548099843,0.6219760561817138,0.893959826677903,0.6875000000000002,higher_focus
w2_rfreqGated,window_gamma,42.03020602430864,42.1356639629385,-0.10545793862985893,-0.07605232721236087,-0.18628939542146794,0.8595401429988209,0.9667664972013832,0.8437500000000002,higher_focus,-0.09667318734353393,0.8222077341546117,0.893959826677903,0.9999999999999998,higher_focus
nBursts,burst,5.58457358027885,5.5239432663308445,0.06063031394800481,0.06842231496587185,0.16759975868638305,0.8734660821421953,0.9667664972013832,0.8437500000000002,higher_audiobook,0,1,1,1,n/a
apOffset,aperiodic,0.5866418045003969,0.601558469896962,-0.014916665396565146,-0.06838876232450265,-0.1675175718355059,0.8735274400764657,0.9667664972013832,0.6875000000000002,higher_focus,-0.18206720132733956,0.6742668778531782,0.893959826677903,0.6875000000000002,higher_focus
peakLatMs,gamma_power,962.5366598338738,969.7063159689698,-7.169656135095901,-0.06820649996553632,-0.16707112205672242,0.8738607620406911,0.9667664972013832,0.8437500000000002,higher_focus,-0.6333803813522146,0.18149105031545376,0.7968967785071484,0.3125000000000001,higher_focus
w3_rfreqGated,window_gamma,43.925074743806974,44.04393616004034,-0.11886141623336617,-0.05843474176310239,-0.14313530057090312,0.8917728668132825,0.9667664972013832,1,higher_focus,-0.16094983514001204,0.7096537382555221,0.893959826677903,1,higher_focus
timeAboveMs,burst,423.86115263721086,426.96524354872815,-3.1040909115172517,-0.05722315489427135,-0.1401675309632107,0.8939991264442887,0.9667664972013832,1,higher_focus,-0.0027169619979210504,0.9949473502356843,1,1,higher_focus
dutyCycle,burst,0.2117188574611445,0.2132693524219423,-0.0015504949607978112,-0.05722315489427065,-0.14016753096320897,0.8939991264442899,0.9667664972013832,1,higher_focus,-0.0027169619979211072,0.994947350235684,1,1,higher_focus
w1_rfreqRaw,window_gamma,42.222416938283374,42.14465815395801,0.07775878432536369,0.03201288212152068,0.0784152263935919,0.9405392172208338,0.9706811242839307,0.9999999999999998,higher_audiobook,0.20605077376964914,0.6352079894515175,0.893959826677903,0.5625000000000002,higher_audiobook
w3_rfreqRaw,window_gamma,44.085657105780754,44.15015138298986,-0.0644942772091035,-0.03030807622445552,-0.07423932183529451,0.9436985607036583,0.9706811242839307,0.8437500000000002,higher_focus,-0.13458615692698103,0.7550140590365078,0.893959826677903,1,higher_focus
w1_rfreqGated,window_gamma,41.73356014492726,41.816802516424936,-0.08324237149767792,-0.027637116428816312,-0.06769683321249001,0.9486507151681562,0.9706811242839307,0.8437500000000002,higher_focus,0.1265712837000181,0.7690402601880335,0.893959826677903,0.8437500000000002,higher_audiobook
w4_aucZ,window_gamma,1.0435049595346717,1.0415613923751705,0.001943567159501262,0.027014078062937524,0.06617070712590953,0.949806261396097,0.9706811242839307,1,higher_audiobook,-0.10003075260607537,0.8161762220702968,0.893959826677903,0.9999999999999998,higher_focus
w4_rpowZ,window_gamma,2.0870099190693434,2.083122784750341,0.003887134319001969,0.027014078062933575,0.06617070712589987,0.9498062613961044,0.9706811242839307,1,higher_audiobook,-0.10003075260609556,0.8161762220702606,0.893959826677903,0.9999999999999998,higher_focus
w3_rfreqPW,window_gamma,44.03614521322736,44.07655670737997,-0.04041149415260866,-0.018811979166323007,-0.04607975000935905,0.9650304864578529,0.9707494009017374,0.8437500000000002,higher_focus,-0.1947703761632922,0.6534228061223617,0.893959826677903,1,higher_focus
w1_rfreqPW,window_gamma,42.03878147928589,41.99683411923914,0.04194736004675074,0.015733460991264384,0.03853895131658137,0.9707494009017374,0.9707494009017374,0.9999999999999998,higher_audiobook,0.2026052408948838,0.6407415298822738,0.893959826677903,0.8437500000000002,higher_audiobook
