sessID,participant,block,category,band,phase,phaseIdx,medZ,nEvents,nBreaths
260702_OBE_NWU_SP_2,SP,cueTask,olf,high,pause,5,-0.115688658316511,58,58
260702_OBE_NWU_SP_2,SP,cueTask,olf,low,inhaleRise,1,-0.29514890439907,58,58
260702_OBE_NWU_SP_2,SP,cueTask,olf,low,peakToExh,2,0.282148482727945,58,58
260702_OBE_NWU_SP_2,SP,cueTask,olf,low,exhaleFall,3,0.42540201597728,58,58
260702_OBE_NWU_SP_2,SP,cueTask,olf,low,troughToPause,4,-0.105396120197259,58,58
260702_OBE_NWU_SP_2,SP,cueTask,olf,low,pause,5,-0.305757019772012,58,58
260622_OBE_NWU_RC_1,RC,cueTask,olf,high,inhaleRise,1,-0.289795323307471,60,60
260622_OBE_NWU_RC_1,RC,cueTask,olf,high,peakToExh,2,-0.415596644559223,60,60
260622_OBE_NWU_RC_1,RC,cueTask,olf,high,exhaleFall,3,-0.368300794779969,60,60
260622_OBE_NWU_RC_1,RC,cueTask,olf,high,troughToPause,4,-0.383280245966181,60,60
260622_OBE_NWU_RC_1,RC,cueTask,olf,high,pause,5,-0.381767637139106,24,60
260622_OBE_NWU_RC_1,RC,cueTask,olf,low,inhaleRise,1,-0.341666041913654,60,60
260622_OBE_NWU_RC_1,RC,cueTask,olf,low,peakToExh,2,-0.196508046834611,60,60
260622_OBE_NWU_RC_1,RC,cueTask,olf,low,exhaleFall,3,-0.0393141806210838,60,60
260622_OBE_NWU_RC_1,RC,cueTask,olf,low,troughToPause,4,-0.264582380721092,60,60
260622_OBE_NWU_RC_1,RC,cueTask,olf,low,pause,5,-0.296535910521426,24,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,high,inhaleRise,1,-0.116959051000311,60,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,high,peakToExh,2,0.0600497025611445,60,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,high,exhaleFall,3,0.0574060554210024,60,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,high,troughToPause,4,-0.114048764877896,60,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,high,pause,5,-0.117708832497701,46,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,low,inhaleRise,1,-0.43625437908986,60,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,low,peakToExh,2,-0.325139501713256,60,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,low,exhaleFall,3,-0.151744970687102,60,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,low,troughToPause,4,-0.32397200789965,60,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,low,pause,5,-0.284677214589427,46,60
260514_OBE_NWU_BW_1,BW,threshTask,olf,high,inhaleRise,1,0.112738051993099,44,44
260514_OBE_NWU_BW_1,BW,threshTask,olf,high,peakToExh,2,-0.087190356499067,44,44
260514_OBE_NWU_BW_1,BW,threshTask,olf,high,exhaleFall,3,0.0514815163389157,44,44
260514_OBE_NWU_BW_1,BW,threshTask,olf,high,troughToPause,4,-0.176224852690696,44,44
260514_OBE_NWU_BW_1,BW,threshTask,olf,high,pause,5,-0.21869610388493,36,44
260514_OBE_NWU_BW_1,BW,threshTask,olf,low,inhaleRise,1,-0.199437400239796,44,44
260514_OBE_NWU_BW_1,BW,threshTask,olf,low,peakToExh,2,0.138620363065939,44,44
260514_OBE_NWU_BW_1,BW,threshTask,olf,low,exhaleFall,3,-0.0466600148476538,44,44
260514_OBE_NWU_BW_1,BW,threshTask,olf,low,troughToPause,4,-0.175359125022517,44,44
260514_OBE_NWU_BW_1,BW,threshTask,olf,low,pause,5,-0.348324143587042,36,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,high,inhaleRise,1,-0.0627835185442726,44,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,high,peakToExh,2,-0.0337818438202688,44,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,high,exhaleFall,3,-0.205529339036751,44,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,high,troughToPause,4,-0.152045888865379,44,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,high,pause,5,0.0237944825981088,44,44
