task,metric,n_ctrl,n_dupi,control_mean,control_SD,control_CV,sep_control_dupi,sep_resp_nonresp,recovery_rho_dupi,recovery_rho_resp,max_separation,control_CV_rank,goodness
focusedBreathing,w3_aucZ__var,3,27,0.09944790357191759,0.016345450496859364,0.16436193972331362,0.35758255401210465,-0.724630886850615,-0.10363542055524132,-0.3077047949514063,0.724630886850615,327,0.6223416122849297
focusedBreathing,w3_rpowZ__var,3,27,0.397791614287669,0.06538180198743723,0.1643619409628717,0.35758255401211464,-0.7246308868506118,-0.10363542055524132,-0.3077047949514063,0.7246308868506118,328,0.6223416116223937
focusedBreathing,p2_rfreqGated__var,3,27,46.900206667672975,18.366438376294806,0.3916067685169217,0.2952025784273609,0.8613223634490185,-0.1768667587393866,-0.29730936268953445,0.8613223634490185,549,0.618940912717
O15,p4_aucZ__mean,11,28,2.6073104349000156,0.3528516751435752,0.13533166986376693,-0.702303402651223,-0.07664359775903862,0.2463924282906718,0.2485915003344577,0.702303402651223,303,0.6185887536595321
focusedBreathing,w1_rpowDb__var,3,27,12.420922020208947,5.859714477373842,0.4717616347134516,0.11698752097909963,-0.9092661866876169,0.04151955334547523,0.10326129380126023,0.9092661866876169,619,0.6178080507341455
O15,p1_rfreqPW__var,11,28,34.36178468624545,15.611336023690837,0.4543226193220843,0.8218269520183241,0.8890593416851713,-0.16150091938380168,-0.1663369597826151,0.8890593416851713,607,0.6113219514522824
focusedBreathing,w1_rfreqPW__mean,3,27,41.99103567936084,3.056111429989777,0.07278009176180232,0.6554873093288269,0.02169179502006489,-0.199751551921932,-0.10741946670600895,0.6554873093288269,203,0.6110174064214178
threshTask,w4_aucZ__var,5,29,0.08023624391585332,0.014752660613262174,0.18386529215984407,0.48226699674987394,0.7232334342066027,-0.19180739910175687,-0.23924383119188022,0.7232334342066027,346,0.610908554373729
threshTask,w4_rpowZ__var,5,29,0.32094497566341296,0.05901064245304893,0.18386529387850678,0.4822669967498752,0.7232334342066055,-0.19180739910175687,-0.23924383119188022,0.7232334342066055,347,0.6109085534868519
O15,p3_rfreqRaw__var,11,28,51.144154741477315,20.74701785679408,0.40565765455036124,-0.19517541336107508,0.8571474000855804,0.2957892296406624,0.29489776020068026,0.8571474000855804,561,0.6097838953253258
threshTask,p1_rfreqGated__var,5,29,33.93723589427276,24.486996149865295,0.7215377299857287,1.04948897099731,0.28732214281765833,-0.1198465541973736,-0.2622015725688788,1.04948897099731,722,0.6096229857280038
focusedBreathing,w3_rfreqRaw__mean,3,27,44.459976997240155,1.531525978943615,0.03444729580054072,-0.1778752235209235,0.6285036181662854,0.2219824938706904,0.3666122444353467,0.6285036181662854,57,0.6075743256498123
focusedBreathing,w1_rfreqRaw__mean,3,27,42.13197011586485,2.962117812142922,0.07030570381415008,0.6502116934399085,-0.09500127712240473,-0.12259710633506465,-0.015939662801536813,0.6502116934399085,192,0.6075009141059501
O15,w2_rfreqGated__var,11,28,31.199562093011348,19.023219852057085,0.6097271427956525,0.9635945963568237,0.9775213037419453,-0.21444719148948024,-0.26565170133780286,0.9775213037419453,686,0.6072590054263856
audiobook,p1_rfreqRaw__mean,7,28,43.37413366543276,1.8344947561821197,0.04229467198792342,0.18027503800424163,-0.6302652576705596,0.206558524984571,0.34255366738837395,0.6302652576705596,81,0.6046900887140506
audiobook,p1_rpowDb__var,7,28,5.677556391402523,2.1275960680981307,0.3747379895592396,0.830614918183305,-0.2763474688464671,0.04899896828469227,0.10753889381857243,0.830614918183305,533,0.6041987087660332
threshTask,gammaPeakPresent__mean,5,29,0.991010101010101,0.012311221170853927,0.012422901790690772,-0.044157188537965894,-0.6113397176021732,-0.013571192594273607,0.010236929877464095,0.6113397176021732,19,0.6038382937810727
cueTask,p2_rpowZ__mean,11,30,2.2309807610967813,0.2993784880567405,0.13419142519874103,-0.6822270898627311,0.4199300057940294,0.020093301917275312,-0.001058462439224731,0.6822270898627311,300,0.6015096523439034
threshTask,p4_aucZ__var,5,29,0.8235373138987345,0.2542360819243528,0.3087122797290791,-0.786908674746784,-0.4375628624264252,-0.043652718416261914,0.07068567739760097,0.786908674746784,481,0.6012847032425528
threshTask,p1_rpowZ__var,5,29,0.4763080733906308,0.1157199801850198,0.24295195989080648,0.702492870728445,0.7454202733205136,-0.24366153734168014,-0.4247182154744742,0.7454202733205136,403,0.5997176861010773
threshTask,p1_aucZ__mean,5,29,1.2282497053546015,0.557706768944244,0.45406627500811414,-0.8701883536385756,-0.17398937265238798,0.07460646420233853,0.1008932318410202,0.8701883536385756,606,0.5984516446017701
audiobook,p1_rfreqGated__mean,7,28,43.26227339874948,2.0667789334482207,0.04777323915345117,0.03361862290803981,-0.6235473137546844,0.23883329451341023,0.29603403354550833,0.6235473137546844,109,0.5951166630849245
threshTask,apExp__mean,5,29,1.0258491069203644,0.340939094083858,0.3323481898571039,0.791158698189219,0.6744345829076193,-0.012434410700389757,-0.037457367509839835,0.791158698189219,506,0.593807763024823
O15,p3_aucZ__mean,11,28,1.8004724255921842,0.7211691294472846,0.40054438979233137,-0.15047679878732292,-0.828817914953195,-0.2496461098167191,-0.11576564966555629,0.828817914953195,558,0.5917826817871084
audiobook,w2_rpowDb__mean,7,28,2.6718745569378517,3.0753787516413866,1.1510191384190427,-1.268051445058396,-0.4602284971113877,-0.015843977768702888,0.023561892465866992,1.268051445058396,785,0.5895119306053173
audiobook,w5_rfreqRaw__mean,7,28,44.136302506278895,1.5244983993478394,0.03454069128460458,-0.3128500961418259,-0.6097411966612007,-0.47561274005680343,-0.49177898633886485,0.6097411966612007,58,0.5893834837023916
