task,metric,ctrl_mean,ctrl_sd,dupi_sd,d_sep,p_sep,rho,p_rho,S1,S2,S3,d_S1_ctrl,d_S3_ctrl,recover_gain,p_sep_fdr,p_rho_fdr
audiobook,w2_rpowDb__var,8.279923672714087,3.59225945138953,5.740978517122145,0.724838431764857,0.10460561518917941,-0.15027117612385918,0.4365261692974518,12.257802783050154,10.691319857063045,11.528171265614422,0.8187078013091591,0.573952765355417,0.24475503595374215,0.381502831866419,0.9967397636835182
audiobook,w2_bandDb__var,1.7991731928838244,0.3712025545858882,2.314449715684039,1.2972671521075676,0.00244728264509454,-0.29022443698569284,0.12669992036274497,3.5031788076921946,2.6692578142767798,3.3563691374959856,1.2005055178530364,0.729210259684062,0.47129525816897444,0.06965275070647967,0.9967397636835182
audiobook,w2_aucZ__var,0.0892520982655622,0.016809421147255487,0.02279698263826021,0.40138620349839393,0.4019885028091874,0.015873715787731602,0.9348635013609234,0.09903373436259406,0.09342449128135102,0.1021223124070451,0.5243038251773611,0.7199730220507171,-0.19566919687335604,0.6397605648827044,0.9967397636835182
audiobook,w3_rfreqPW__var,41.08255117468701,10.664503835874411,12.548976838749745,0.8257459247611746,0.09515613710383836,-0.22937519313272167,0.23133448673301837,51.0639226840273,51.08331292234591,48.105709707238745,0.7135072865346902,0.7486066687258616,-0.03509938219117137,0.3588927780877786,0.9967397636835182
audiobook,w3_rfreqGated__var,47.19577570084472,14.335673455088777,16.121709620736546,0.9190120965560813,0.08086822551016627,-0.16270558682424893,0.39906331980802434,59.852705591133095,62.14187642683914,54.99001302652461,0.7424184550678402,0.5932916895463968,0.14912676552144344,0.3588927780877786,0.9967397636835182
audiobook,w3_rfreqRaw__var,39.414478429266715,9.959530648976392,10.88671353994049,0.7298174812362492,0.14098090090168872,-0.1870452843654374,0.33126286004819316,47.06907156986502,48.07469788039473,45.1244576681419,0.6107080990518092,0.6897705987061604,-0.07906249965435119,0.40972574324553285,0.9967397636835182
audiobook,w3_rpowZ__var,0.37517521343340915,0.06300104269957733,0.06769567309434825,0.42879485130630884,0.4163915515813984,0.08756999876231934,0.6514815932743097,0.3862644515520629,0.3979223128356608,0.404772490097207,0.14609208739432009,0.4394721307770335,-0.2933800433827134,0.6397605648827044,0.9967397636835182
audiobook,w3_rpowDb__var,7.0609111438699035,3.0195657919092977,6.3642187441061955,0.9924529635766292,0.025776995886493907,0.11217425823330333,0.562360705448121,10.102683972361774,12.412615512669634,12.898507240340049,0.7743476872416145,1.0096461881524776,-0.23529850091086313,0.19977171812032776,0.9967397636835182
audiobook,w3_bandDb__var,2.79821518556612,2.321181074146129,4.819681131951322,0.22451422822475867,0.6399458259587189,-0.2791128359342807,0.1425733434128551,3.070031075641372,4.390370484834666,2.4004773795992183,0.13667855197437662,-0.1976739713590515,-0.06099541938467487,0.7935328241888113,0.9967397636835182
audiobook,w3_aucZ__var,0.09379380335835232,0.015750260674894444,0.01692391827358714,0.42879485130630907,0.4163915515813982,0.08756999876231934,0.6514815932743097,0.0965661128880158,0.09948057820891525,0.10119312252430179,0.14609208739432206,0.4394721307770301,-0.29338004338270807,0.6397605648827044,0.9967397636835182
audiobook,w4_rfreqPW__var,50.52905391453669,14.10487784485689,8.272102481027154,0.08297167370901412,0.8897463053223904,0.10556020998841516,0.5857668030553751,51.51803214846168,50.61314043044377,53.744881174829764,0.09455282154655062,0.2864033590230625,-0.1918505374765119,0.9515157154248863,0.9967397636835182
audiobook,w4_rfreqGated__var,58.31373575727566,19.592164431712842,11.358449050153965,0.18569469192077548,0.753975396603104,-0.08042682665784012,0.6783371517974405,61.81872916172058,59.49029685912689,62.238472136837856,0.2274721613297576,0.26725292441644016,-0.039780763086682575,0.898970665180624,0.9967397636835182
audiobook,w4_rfreqRaw__var,46.759097150090916,11.814976654766996,8.051796234756784,0.08919985281407258,0.8791503861182961,0.12804797402103493,0.507996226672865,48.03363452121303,46.5806415262295,50.644790998211676,0.1430344480190965,0.3671921225168431,-0.22415767449774657,0.9515157154248863,0.9967397636835182
audiobook,w4_rpowZ__var,0.36246035963764406,0.03839444817207769,0.0972109149244872,0.20774002214255904,0.6066317186900773,0.0010582477191821069,0.9956530271188633,0.3759271816622887,0.37187061108843383,0.3950826483643179,0.18365626252696587,0.4629086102908576,-0.27925234776389174,0.7755864970374979,0.9967397636835182
audiobook,w4_rpowDb__var,9.16653954341082,5.524603203301504,7.589297221157992,0.53588260424869,0.2522791661433269,0.03518673666280506,0.856204938958244,10.895378442327447,13.522623132785366,13.376210781851343,0.3481375567405251,0.5061459720364323,-0.1580084152959072,0.5528970165655037,0.9967397636835182
audiobook,w4_bandDb__var,3.454224885123152,4.804990286078666,4.349475680869243,-0.07662201125298307,0.8997298293651912,-0.30451078119465125,0.10824816913525549,3.084754298728422,4.129777135559025,2.190127716390621,-0.11574046205626234,-0.34844814449143025,-0.2327076824351679,0.9515157154248863,0.9967397636835182
audiobook,w4_aucZ__var,0.09061508990941097,0.009598612043019535,0.024302728731121877,0.20774002214256482,0.6066317186900683,0.0010582477191821069,0.9956530271188633,0.09398179541557228,0.09296765277210853,0.09877066209107943,0.18365626252697367,0.4629086102908559,-0.2792523477638822,0.7755864970374979,0.9967397636835182
audiobook,w5_rfreqPW__var,47.33916245334942,12.999295467793651,8.827068604957308,1.0879205040873223,0.11546014365584786,0.12910622174021702,0.504466905573322,53.581303312306495,58.62484640891918,56.475433788501974,0.6165125866882758,0.9225025789522392,-0.3059899922639634,0.390145688308448,0.9967397636835182
audiobook,w5_rfreqGated__var,56.74852904273347,17.014365040049437,11.320568848370314,0.792775492776632,0.226952475765289,0.05476431946767404,0.7778253800412471,63.75908983628681,66.42943037620526,66.68815057581789,0.488348265039356,0.7654391302648473,-0.2770908652254913,0.5343438037005539,0.9967397636835182
audiobook,w5_rfreqRaw__var,45.12077037745453,12.385610619269798,8.77369519368888,0.8663646392878134,0.17851002733084093,0.2563605099718654,0.17947341361510977,48.7601248413397,55.17609058007397,52.4931320297723,0.37558398092799894,0.7644078972100958,-0.3888239162820969,0.47432664405052016,0.9967397636835182
audiobook,w5_rpowZ__var,0.38745623926171213,0.044658402179147016,0.07956024208372099,-0.36591631139289593,0.45407958157265527,-0.042594470697079806,0.8263479491577348,0.3690461411005589,0.3827403185502987,0.3686974410846117,-0.24943652268603078,-0.4326904796821369,-0.18325395699610614,0.6626140934028462,0.9967397636835182
