analysis,task,metric,control_CV,n_ctrl,n_resp,n_nonresp,sep_cd,sep_cd_lo,sep_cd_hi,cd_sig,sep_rn,recovery_rho,isRidgeFreq,smallNonResp
peak_gated,focusedBreathing,w3_rfreqGated,0.0330730228365079,7,9,18,-0.10511216177732251,NA,NA,0,-0.07721247826458799,0.04665171231895851,1,0
peak_gated,focusedBreathing,w3_rfreqRaw,0.03012533939556992,7,9,18,0.02281475459464916,NA,NA,0,-0.14688552862183188,0.1484639398326604,1,0
peak_gated,focusedBreathing,w3_rpowZ,0.055536313459853694,7,9,18,-0.6979017588506279,NA,NA,0,0.2212504006346329,0.12968589210679032,0,0
peak_gated,focusedBreathing,w3_rpowDb,1.1326763101714068,7,9,18,-1.3353282583032307,NA,NA,0,-0.8288455005436118,-0.002347255965733761,0,0
peak_gated,focusedBreathing,w3_bandDb,3.146017832089015,7,9,18,-1.0917935419250289,NA,NA,0,-0.8374660630213273,0.0026406629614504815,0,0
peak_gated,focusedBreathing,w3_aucZ,0.055536313433650404,7,9,18,-0.6979017588506304,NA,NA,0,0.2212504006346321,0.12968589210679032,0,0
peak_gated,focusedBreathing,w4_rfreqPW,0.05527772102049997,7,9,18,-0.17883451147524787,NA,NA,0,-0.02563024958561374,0.13320677605539094,1,0
peak_gated,focusedBreathing,w4_rfreqGated,0.0565500988854137,7,9,18,-0.12117521045701284,NA,NA,0,0.007020657013806128,0.22269590974899062,1,0
peak_gated,focusedBreathing,w4_rfreqRaw,0.05148687739393951,7,9,18,-0.2848239141178779,NA,NA,0,0.053068498201582014,0.15755955669987873,1,0
peak_gated,focusedBreathing,w4_rpowZ,0.04503105050096843,7,9,18,-0.7325381727129283,NA,NA,0,0.4982235340134884,0.059268213134777474,0,0
peak_gated,focusedBreathing,w4_rpowDb,1.2911909968279562,7,9,18,-1.1925800383398264,NA,NA,0,-0.7434408079590872,-0.021712117683037293,0,0
peak_gated,focusedBreathing,w4_bandDb,3.2838588987283215,7,9,18,-1.028719103596936,NA,NA,0,-0.7832043474706953,0.009095616867218326,0,0
peak_gated,focusedBreathing,w4_aucZ,0.04503105047946303,7,9,18,-0.7325381727129292,NA,NA,0,0.4982235340134895,0.059268213134777474,0,0
peak_gated,focusedBreathing,w5_rfreqPW,0.0353223102331675,7,9,18,-0.79879504482445,NA,NA,0,0.4793719302750343,0.10885399541090318,1,0
peak_gated,focusedBreathing,w5_rfreqGated,0.03738059398018587,7,9,18,-0.6643428684458458,NA,NA,0,0.28307133753381236,0.20479808301027067,1,0
peak_gated,focusedBreathing,w5_rfreqRaw,0.03460876772472157,7,9,18,-0.9816637510886257,NA,NA,0,0.4706999118454705,0.1355540320211247,1,0
peak_gated,focusedBreathing,w5_rpowZ,0.09519824547252419,7,9,18,-0.55463810134089,NA,NA,0,-0.05661593204245606,0.006454953905767844,0,0
peak_gated,focusedBreathing,w5_rpowDb,1.311381897243637,7,9,18,-1.173984818428016,NA,NA,0,-0.8699683149123216,-0.031687955537405776,0,0
peak_gated,focusedBreathing,w5_bandDb,2.4838150472274303,7,9,18,-0.9712204940422187,NA,NA,0,-0.8193759853973213,-0.002347255965733761,0,0
peak_gated,focusedBreathing,w5_aucZ,0.0951982454254065,7,9,18,-0.5546381013408915,NA,NA,0,-0.056615932042456046,0.006454953905767844,0,0
peak_gated,focusedBreathing,p1_rfreqPW,0.032901184372917405,7,9,18,0.216421591808423,NA,NA,0,-0.3552585149527841,0.07540559789919708,1,0
peak_gated,focusedBreathing,p1_rfreqGated,0.03921161102182961,7,9,18,0.18801982503713136,NA,NA,0,-0.4486558986345382,0.07100449296344628,1,0
peak_gated,focusedBreathing,p1_rfreqRaw,0.03443482226143783,7,9,18,0.29664117820094815,NA,NA,0,-0.2306173879322116,0.06190887609622796,1,0
peak_gated,focusedBreathing,p1_rpowZ,0.06093843000741536,7,9,18,-1.1097857640751432,NA,NA,0,0.20855930665825095,0.007335174892918004,0,0
peak_gated,focusedBreathing,p1_rpowDb,1.1471487989130376,7,9,18,-1.2748361118482252,NA,NA,0,-0.9159380796077061,-0.06601657403626204,0,0
peak_gated,focusedBreathing,p1_bandDb,2.2219027367176514,7,9,18,-1.0861213823811213,NA,NA,0,-0.8758144339613272,0.004107697940034082,0,0
peak_gated,focusedBreathing,p1_aucZ,0.2254955674445591,7,9,18,-0.8082513358846282,NA,NA,0,0.2921575830489917,0.012323093820102247,0,0
peak_gated,focusedBreathing,p2_rfreqPW,0.043157783731651155,7,9,18,-0.28789963177208466,NA,NA,0,0.13174564214268805,0.15169141678554432,1,0
peak_gated,focusedBreathing,p2_rfreqGated,0.048041897399846926,7,9,18,-0.2643136256354462,NA,NA,0,0.22060619221163202,0.08802209871501605,1,0
peak_gated,focusedBreathing,p2_rfreqRaw,0.03945898576348971,7,9,18,-0.4212775840194861,NA,NA,0,0.2326201525504864,0.10093200652655174,1,0
peak_gated,focusedBreathing,p2_rpowZ,0.03099222021439735,7,9,18,-0.5863115187386012,NA,NA,0,0.5557994329317849,0.13056611309394048,0,0
peak_gated,focusedBreathing,p2_rpowDb,1.2334592683683794,7,9,18,-1.1459616309885468,NA,NA,0,-0.8113748430351367,0.004107697940034082,0,0
peak_gated,focusedBreathing,p2_bandDb,3.533427946003228,7,9,18,-1.0081673571385712,NA,NA,0,-0.8078478664359531,-0.002347255965733761,0,0
peak_gated,focusedBreathing,p2_aucZ,0.5362552804140872,7,9,18,-0.42288445989773393,NA,NA,0,0.06823450652282861,0.20333104803168708,0,0
