sessID,participant,task,category,block,band,window,winMid,medZ,medZ_ninv,nBreaths
260608_OBE_NWU_RX_1,RX,breathingTask,nonolf,audiobook,high,500-1000,750,-1.36866217283404,-0.158039494783078,75
260608_OBE_NWU_RX_1,RX,breathingTask,nonolf,audiobook,high,1000-1500,1250,-1.57453650477133,-0.181811814975724,75
260608_OBE_NWU_RX_1,RX,breathingTask,nonolf,audiobook,high,1500-2000,1750,-0.089109683948408,-0.0102895000030032,75
260608_OBE_NWU_RX_1,RX,breathingTask,nonolf,audiobook,low,0-500,250,0.04647740066755,0.00536674795732882,75
260608_OBE_NWU_RX_1,RX,breathingTask,nonolf,audiobook,low,500-1000,750,0.677095701478092,0.0781842771031029,75
260608_OBE_NWU_RX_1,RX,breathingTask,nonolf,audiobook,low,1000-1500,1250,0.597514441466118,0.0689950247250304,75
260608_OBE_NWU_RX_1,RX,breathingTask,nonolf,audiobook,low,1500-2000,1750,-0.0367921832768193,-0.00424839538378913,75
260608_OBE_NWU_RX_1,RX,breathingTask,nonolf,focusedBreathing,high,0-500,250,-0.674132251053166,-0.121077726556394,31
260608_OBE_NWU_RX_1,RX,breathingTask,nonolf,focusedBreathing,high,500-1000,750,0.0270405869472266,0.0048566327856379,31
260608_OBE_NWU_RX_1,RX,breathingTask,nonolf,focusedBreathing,high,1000-1500,1250,0.650142971015176,0.116769124669766,31
260608_OBE_NWU_RX_1,RX,breathingTask,nonolf,focusedBreathing,high,1500-2000,1750,1.70937773549644,0.307013304461682,31
260608_OBE_NWU_RX_1,RX,breathingTask,nonolf,focusedBreathing,low,0-500,250,-0.242090793266293,-0.0434807900424941,31
260608_OBE_NWU_RX_1,RX,breathingTask,nonolf,focusedBreathing,low,500-1000,750,-0.0189056750848563,-0.00339555948363569,31
260608_OBE_NWU_RX_1,RX,breathingTask,nonolf,focusedBreathing,low,1000-1500,1250,-0.182413274472259,-0.032762391255283,31
260608_OBE_NWU_RX_1,RX,breathingTask,nonolf,focusedBreathing,low,1500-2000,1750,0.140283279821153,0.0251956208415847,31
230611_OBE_NMH_AZ,AZ,cueTask,olf,cueTask,high,0-500,250,0.786357437143542,0.124334027819314,40
230611_OBE_NMH_AZ,AZ,cueTask,olf,cueTask,high,500-1000,750,3.45816331957399,0.546783630535128,40
230611_OBE_NMH_AZ,AZ,cueTask,olf,cueTask,high,1000-1500,1250,8.20858627444391,1.29789144986194,40
230611_OBE_NMH_AZ,AZ,cueTask,olf,cueTask,high,1500-2000,1750,9.70678486668993,1.5347774467997,40
230611_OBE_NMH_AZ,AZ,cueTask,olf,cueTask,low,0-500,250,0.933400655653004,0.147583602067901,40
230611_OBE_NMH_AZ,AZ,cueTask,olf,cueTask,low,500-1000,750,3.59582693358392,0.56855015909521,40
230611_OBE_NMH_AZ,AZ,cueTask,olf,cueTask,low,1000-1500,1250,12.552721122568,1.98475947901103,40
230611_OBE_NMH_AZ,AZ,cueTask,olf,cueTask,low,1500-2000,1750,12.334970752136,1.95033012241551,40
241017_OBE_NMH_AS,AS,cueTask,olf,cueTask,high,0-500,250,5.92268600462855,0.936458882031439,40
241017_OBE_NMH_AS,AS,cueTask,olf,cueTask,high,500-1000,750,3.59785499307824,0.568870823456829,40
241017_OBE_NMH_AS,AS,cueTask,olf,cueTask,high,1000-1500,1250,2.56036346648498,0.404829009598837,40
241017_OBE_NMH_AS,AS,cueTask,olf,cueTask,high,1500-2000,1750,4.00000999304038,0.632457112072094,40
241017_OBE_NMH_AS,AS,cueTask,olf,cueTask,low,0-500,250,0.585462058454166,0.0925696794162901,40
241017_OBE_NMH_AS,AS,cueTask,olf,cueTask,low,500-1000,750,0.337365839071434,0.0533422228099779,40
241017_OBE_NMH_AS,AS,cueTask,olf,cueTask,low,1000-1500,1250,1.07509816062803,0.169987944792107,40
241017_OBE_NMH_AS,AS,cueTask,olf,cueTask,low,1500-2000,1750,0.3766112357592,0.0595474648704862,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,cueTask,high,0-500,250,-0.394546297714603,-0.0623832471582516,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,cueTask,high,500-1000,750,-0.233148686486877,-0.0368640441387527,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,cueTask,high,1000-1500,1250,-0.174605034602624,-0.0276074800138402,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,cueTask,high,1500-2000,1750,-0.094188761294637,-0.0148925507840481,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,cueTask,low,0-500,250,0.077647840091453,0.0122772015040764,40
