metric,family,is_manipulation,n_subj,n_pos,n_neg,mean_logVarRatio,sd_logVarRatio,direction,varRatio_p,varRatio_p_fdr,varRatio_t_p,varRatio_t_p_fdr,varRatio_sign_p,mean_KS,mean_KS_centered,mean_IQRdiff,KS_combined_p,KS_combined_p_fdr,KS_centered_combined_p,KS_centered_combined_p_fdr
apExp,aperiodic,FALSE,6,3,3,-0.2973026898352852,0.6367000982095047,higher_audiobook,0.5293681061847979,0.7562401516925684,0.304505288125697,0.717757977856032,1,0.21481601626244323,0.14178248826297385,-0.12970687061460018,0.013727136414121266,0.05696761611860326,0.716291980924968,1
w1_rfreqGated,window_gamma,FALSE,6,5,1,0.10328191749709519,0.22867379172274183,higher_focus,0.2945073936801101,0.6731597569831087,0.3189519829979203,0.717757977856032,0.21875000000000008,0.20064344950593993,0.15094655406874907,0.794646787218055,0.02241586360309522,0.0715583338098809,0.4694928380442239,1
peakZ,gamma_power,FALSE,6,2,4,-0.17666041661996057,0.3952686078195953,higher_audiobook,0.40167816646977295,0.6985707242952572,0.3235294538091047,0.717757977856032,0.6874999999999999,0.14160634445124978,0.12220079010830279,-0.04602428216536033,0.7028806935375801,0.7479371482515276,0.9732259125325403,1
w5_rfreqRaw,window_gamma,FALSE,6,5,1,0.14542732803590377,0.3265883060229081,higher_focus,0.2945073936801101,0.6731597569831087,0.32513865399728104,0.717757977856032,0.21875000000000008,0.22285536944401552,0.1400860642935023,0.917500000000004,0.005813083070561942,0.03216572632377608,0.6326682956382033,1
w1_rfreqRaw,window_gamma,FALSE,6,5,1,0.12377752013274088,0.27894466413011765,higher_focus,0.2945073936801101,0.6731597569831087,0.3266684592795093,0.717757977856032,0.21875000000000008,0.18433082556245975,0.12116026697291696,0.643166666666664,0.09475111588072938,0.16384047121042788,0.9796669899338283,1
w4_rfreqRaw,window_gamma,FALSE,6,4,2,0.06298430864140664,0.14367106230236779,higher_focus,0.40167816646977295,0.6985707242952572,0.3319630647584148,0.717757977856032,0.6874999999999999,0.20087273097335148,0.1407921229769976,1.3466666666666687,0.06418777394441566,0.121081482667875,0.7831525814909345,1
w4_rfreqGated,window_gamma,FALSE,6,4,2,0.09251957495447913,0.21978141076695185,higher_focus,0.40167816646977295,0.6985707242952572,0.3497473959617306,0.7330700258348464,0.6874999999999999,0.15734037986875146,0.16889181553326146,1.9315256488862051,0.5200867863997727,0.6256116416113208,0.23688195540438572,1
p1_rpowDb,segment_gamma,FALSE,6,5,1,0.09803236626152069,0.23695527887075335,higher_focus,0.20841280368414858,0.6731597569831087,0.35737163759448765,0.7330700258348464,0.21875000000000008,0.17820573779530297,0.1299608011449305,-0.11034448126786378,0.057020848332573815,0.11521669848585325,0.8157080109093384,1
p4_rfreqGated,segment_gamma,FALSE,6,2,4,-0.14532934900763994,0.3595840028673993,higher_audiobook,0.2945073936801101,0.6731597569831087,0.36763973600413946,0.7352794720082789,0.6874999999999999,0.25166106619877276,0.17330308532151875,-0.5702159597469425,0.007061846183935017,0.0366333270791629,0.3270199948613429,1
p2_bandDb,segment_gamma,FALSE,6,2,4,-0.18635272255966867,0.4741766894756619,higher_audiobook,0.2945073936801101,0.6731597569831087,0.37993243331404625,0.741331577198139,0.6874999999999999,0.16081317016708457,0.145348574140526,-0.06087755186533431,0.17451355930012558,0.2579592343325784,0.493342932911899,1
w2_rpowDb,window_gamma,FALSE,6,2,4,-0.05143705295318253,0.13811592457568567,higher_audiobook,0.5293681061847979,0.7562401516925684,0.40348324262058294,0.7612070891881565,0.6874999999999999,0.17076446347259858,0.12646774282418782,-0.5032512587568192,0.16281178702411225,0.24569778769093303,0.8937300833553391,1
p2_aucZ,segment_gamma,FALSE,6,5,1,0.44605471679042397,1.2177113434439546,higher_focus,0.2945073936801101,0.6731597569831087,0.41069763886405863,0.7612070891881565,0.21875000000000008,0.34093521057732035,0.17727626550912545,0.35722002283206333,2.9926393020685005e-5,8.279635402389518e-4,0.1833139687891947,1
w1_rpowZ,window_gamma,FALSE,6,4,2,0.08183489047153067,0.2354202928599118,higher_focus,0.40167816646977295,0.6985707242952572,0.43338391192165776,0.7612070891881565,0.6874999999999999,0.14436966677786015,0.14312565956275278,0.0739011525426591,0.609988109387832,0.713084691256198,0.6858093534362436,1
w1_aucZ,window_gamma,FALSE,6,4,2,0.0818348904715285,0.23542029285991134,higher_focus,0.40167816646977295,0.6985707242952572,0.4333839119216684,0.7612070891881565,0.6874999999999999,0.14436966677786015,0.14312565956275278,0.036950576271327695,0.6195120486857624,0.7141597227905315,0.6865963231792437,1
p3_rfreqGated,segment_gamma,FALSE,6,1,5,-0.12231970285746646,0.355429814139674,higher_audiobook,0.40167816646977295,0.6985707242952572,0.43769407628319,0.7612070891881565,0.21875000000000008,0.2693583666679656,0.1600989062657699,-1.6409195871772877,8.91122064707317e-4,0.009245391421338414,0.3903497176515516,1
w5_rpowDb,window_gamma,FALSE,6,5,1,0.12904962379085463,0.40222663331318664,higher_focus,0.2945073936801101,0.6731597569831087,0.4675229286996053,0.7957837084248601,0.21875000000000008,0.18335019769991404,0.14138022191827698,0.18765333791508076,0.02914245559865858,0.08051644153166308,0.69370861805722706,1
w4_rfreqPW,window_gamma,FALSE,6,4,2,0.047634805847693557,0.15989100628248418,higher_focus,0.5293681061847979,0.7562401516925684,0.4982795393304449,0.8169895171393916,0.6874999999999999,0.1938266815128501,0.1505517961494731,1.651246922266753,0.04927311050652572,0.11360189366782318,0.5389501603685557,1
w3_bandDb,window_gamma,FALSE,6,2,4,-0.09028329095130928,0.3229283827880843,higher_audiobook,0.5293681061847979,0.7562401516925684,0.5239052697220417,0.8169895171393916,0.6874999999999999,0.16278175386519567,0.124395514182767,-0.041720653788215246,0.2552474590721233,0.3530923183831039,0.9009921295614742,1
