sess,cond,freqRange,minLat_ms,maxLat_ms,minPct,maxPct,breathMs
TI,ATB,33,2376,200,56.7064439140811,4.77326968973747,4190
TI,ATB,24,2338,608,52.4685816876122,13.6445242369838,4456
TI,ATB,32,2704,3688,63.030303030303,85.967365967366,4290
TI,ATB,33,894,3338,16.8425018839488,62.8862094951017,5308
TI,ATB,24,2112,200,43.492586490939,4.11861614497529,4856
TI,ATB,33,674,2406,14.3648763853367,51.2787723785166,4692
TI,ATB,30,1428,352,33.3177788147457,8.21278581427905,4286
TI,ATB,29,2412,1078,58.8005850804486,26.2798634812287,4102
TI,ATB,30,2428,3954,60.7303651825913,98.8994497248624,3998
TI,ATB,33,410,748,10.9216835375599,19.9254128929142,3754
TI,ATB,29,2984,970,62.9270350063264,20.4555040067482,4742
TI,ATB,29,238,2206,7.22525804493018,66.970248937462,3294
TI,ATB,32,968,1916,43.3303491495076,85.7654431512981,2234
TI,ATB,30,998,636,49.4059405940594,31.4851485148515,2020
AD,baseline,24,1622,3714,41.2093495934959,94.359756097561,3936
AD,baseline,22,2182,200,88.5551948051948,8.11688311688312,2464
AD,baseline,27,296,200,4.96644295302013,3.35570469798658,5960
AD,baseline,29,1230,286,32.098121085595,7.46346555323591,3832
AD,baseline,21,2424,938,53.415601586602,20.6698986337594,4538
AD,baseline,33,2404,1678,59.7712580805569,41.7205370462456,4022
AD,baseline,29,548,1740,13.720580871307,43.565348022033,3994
AD,baseline,32,2756,1496,71.6216216216216,38.8773388773389,3848
AD,baseline,28,3724,3424,89.6917148362235,82.4662813102119,4152
AD,baseline,29,1928,2758,47.4409448818898,67.8641732283465,4064
AD,baseline,27,2082,2566,53.9657853810264,66.5111456713323,3858
AD,baseline,28,3450,200,84.8499754058042,4.91883915395967,4066
